time	V(n002)	V(n004)	V(n005)	V(n009)
6.084001158672068e-007	5.943509e-007	7.530591e-002	1.507582e-002	1.233349e-003
6.113298033672069e-007	5.516001e-007	7.812118e-002	1.507036e-002	1.233349e-003
6.142594908672069e-007	5.119243e-007	8.121373e-002	1.506475e-002	1.233349e-003
6.171891783672070e-007	4.751023e-007	8.463260e-002	1.505896e-002	1.233349e-003
6.201188658672071e-007	4.409289e-007	8.843829e-002	1.505296e-002	1.233349e-003
6.230485533672072e-007	4.092135e-007	9.270549e-002	1.504667e-002	1.233349e-003
6.259782408672072e-007	3.797794e-007	9.752570e-002	1.504004e-002	1.233349e-003
6.279313658672073e-007	3.613424e-007	1.011001e-001	1.503538e-002	1.233349e-003
6.298844908672073e-007	3.438006e-007	1.050060e-001	1.503051e-002	1.233349e-003
6.328141783672074e-007	3.190715e-007	1.115752e-001	1.502275e-002	1.233349e-003
6.357438658672075e-007	2.961211e-007	1.191212e-001	1.501437e-002	1.233349e-003
6.369994462243503e-007	2.868197e-007	1.226814e-001	1.501056e-002	1.233349e-003
6.382550265814932e-007	2.777896e-007	1.264607e-001	1.500666e-002	1.233349e-003
6.395106069386361e-007	2.690308e-007	1.304593e-001	1.500268e-002	1.233349e-003
6.407661872957791e-007	2.605433e-007	1.346771e-001	1.499861e-002	1.233349e-003
6.420217676529219e-007	2.523270e-007	1.391140e-001	1.499446e-002	1.233349e-003
6.432773480100648e-007	2.443820e-007	1.437701e-001	1.499022e-002	1.233349e-003
6.445329283672077e-007	2.367084e-007	1.486455e-001	1.498590e-002	1.233349e-003
6.474626158672078e-007	2.196823e-007	1.608120e-001	1.497588e-002	1.233349e-003
6.503923033672078e-007	2.038809e-007	1.739718e-001	1.496604e-002	1.233349e-003
6.526244462243507e-007	1.926880e-007	1.846800e-001	1.495886e-002	1.233349e-003
6.548565890814936e-007	1.820377e-007	1.956720e-001	1.495192e-002	1.233349e-003
6.570887319386365e-007	1.719299e-007	2.069478e-001	1.494522e-002	1.233349e-003
6.593208747957795e-007	1.623645e-007	2.185074e-001	1.493877e-002	1.233349e-003
6.615530176529224e-007	1.533416e-007	2.303508e-001	1.493257e-002	1.233349e-003
6.637851605100653e-007	1.448612e-007	2.424780e-001	1.492661e-002	1.233349e-003
6.660173033672082e-007	1.369233e-007	2.548890e-001	1.492089e-002	1.233349e-003
6.717371694386369e-007	1.190454e-007	2.874061e-001	1.490691e-002	1.233349e-003
6.774570355100656e-007	1.029573e-007	3.206466e-001	1.489272e-002	1.233349e-003
6.831769015814943e-007	8.865920e-008	3.546106e-001	1.487830e-002	1.233349e-003
6.888967676529231e-007	7.615094e-008	3.892980e-001	1.486366e-002	1.233349e-003
6.946166337243517e-007	6.543257e-008	4.247089e-001	1.484880e-002	1.233349e-003
7.003364997957805e-007	5.650407e-008	4.608433e-001	1.483372e-002	1.233349e-003
7.060563658672092e-007	4.936546e-008	4.977010e-001	1.481842e-002	1.233349e-003
7.219603837243524e-007	3.562875e-008	6.041417e-001	1.477407e-002	1.233349e-003
7.378644015814956e-007	2.425801e-008	7.129478e-001	1.472417e-002	1.233349e-003
7.537684194386390e-007	1.525327e-008	8.241193e-001	1.466874e-002	1.233349e-003
7.696724372957822e-007	8.614503e-009	9.376563e-001	1.460777e-002	1.233349e-003
7.855764551529254e-007	4.341725e-009	1.053559e+000	1.454126e-002	1.233349e-003
8.014804730100687e-007	2.434931e-009	1.171827e+000	1.446922e-002	1.233349e-003
8.173844908672119e-007	2.894122e-009	1.292460e+000	1.439163e-002	1.233349e-003
8.278476605100693e-007	2.281176e-009	1.371593e+000	1.433596e-002	1.233349e-003
8.383108301529267e-007	1.756053e-009	1.450044e+000	1.427540e-002	1.233349e-003
8.487739997957841e-007	1.318751e-009	1.527812e+000	1.420996e-002	1.233349e-003
8.592371694386415e-007	9.692721e-010	1.604898e+000	1.413965e-002	1.233349e-003
8.697003390814988e-007	7.076150e-010	1.681301e+000	1.406444e-002	1.233349e-003
8.801635087243563e-007	5.337799e-010	1.757022e+000	1.398436e-002	1.233349e-003
8.906266783672137e-007	4.477669e-010	1.832060e+000	1.389939e-002	1.233349e-003
8.984391783672139e-007	3.669463e-010	1.886632e+000	1.383102e-002	1.233349e-003
9.040195355100711e-007	3.200490e-010	1.925116e+000	1.378006e-002	1.233349e-003
9.095998926529284e-007	2.777692e-010	1.962958e+000	1.372694e-002	1.233349e-003
9.151802497957857e-007	2.401066e-010	2.000159e+000	1.367166e-002	1.233349e-003
9.207606069386429e-007	2.070614e-010	2.036717e+000	1.361423e-002	1.233349e-003
9.263409640815002e-007	1.786335e-010	2.072633e+000	1.355465e-002	1.233349e-003
9.319213212243575e-007	1.548229e-010	2.107908e+000	1.349291e-002	1.233349e-003
