time	V(n002)	V(n004)	V(n005)	V(n009)
3.604926961071079e-007	3.203708e+000	1.821885e-002	4.894363e+000	2.403297e+000
3.688632318213938e-007	3.203777e+000	1.796132e-002	4.894369e+000	2.409329e+000
3.772337675356797e-007	3.203832e+000	1.771863e-002	4.894375e+000	2.415298e+000
3.856043032499656e-007	3.203872e+000	1.749078e-002	4.894381e+000	2.421202e+000
3.939748389642515e-007	3.203899e+000	1.727775e-002	4.894386e+000	2.427043e+000
4.098788568213947e-007	3.203938e+000	1.690647e-002	4.894396e+000	2.437964e+000
4.257828746785380e-007	3.203970e+000	1.656155e-002	4.894406e+000	2.448679e+000
4.416868925356813e-007	3.203996e+000	1.624301e-002	4.894414e+000	2.459188e+000
4.575909103928245e-007	3.204015e+000	1.595084e-002	4.894423e+000	2.469490e+000
4.734949282499677e-007	3.204027e+000	1.568503e-002	4.894431e+000	2.479587e+000
4.893989461071109e-007	3.204032e+000	1.544560e-002	4.894438e+000	2.489477e+000
5.053029639642542e-007	3.204031e+000	1.523254e-002	4.894444e+000	2.499161e+000
5.449234996785408e-007	3.204034e+000	1.478551e-002	4.894459e+000	2.522356e+000
5.845440353928276e-007	3.204037e+000	1.438920e-002	4.894472e+000	2.544556e+000
6.241645711071142e-007	3.204038e+000	1.404360e-002	4.894484e+000	2.565758e+000
6.637851068214010e-007	3.204040e+000	1.374872e-002	4.894494e+000	2.585965e+000
7.034056425356876e-007	3.204040e+000	1.350456e-002	4.894502e+000	2.605174e+000
7.430261782499743e-007	3.204040e+000	1.331111e-002	4.894509e+000	2.623388e+000
7.826467139642609e-007	3.204039e+000	1.316838e-002	4.894515e+000	2.640604e+000
8.007828746785470e-007	3.204039e+000	1.310126e-002	4.894517e+000	2.648253e+000
8.189190353928333e-007	3.204039e+000	1.303800e-002	4.894520e+000	2.655741e+000
8.370551961071194e-007	3.204039e+000	1.297860e-002	4.894522e+000	2.663068e+000
8.551913568214055e-007	3.204039e+000	1.292305e-002	4.894524e+000	2.670234e+000
8.733275175356917e-007	3.204039e+000	1.287136e-002	4.894526e+000	2.677240e+000
8.914636782499779e-007	3.204039e+000	1.282353e-002	4.894528e+000	2.684085e+000
9.095998389642640e-007	3.204039e+000	1.277955e-002	4.894530e+000	2.690770e+000
9.105764014642640e-007	3.204039e+000	1.277723e-002	4.894530e+000	2.691126e+000
9.994435889642613e-007	3.204039e+000	1.259753e-002	4.894537e+000	2.721807e+000
1.000000000000000e-006	3.204039e+000	1.259658e-002	4.894537e+000	2.721989e+000
